;EventTypeId;EventType;Description;ValueName;FormatType;DisplayUnits
0;-9107232402036844231;System;* Input 2 Low;;;
1;-8466048650882854518;System;* Input 2 High;;;
2;-8462656232830278080;Hidden;Active Trail point;;;
3;-8090199106001736009;Default;* Low Remote Control Battery;;;
4;-7417774485302453264;System;Fora da Faixa Verde - obsoleto;;;
5;-7372181092478897411;System;Rotação Excessiva;Rotação;Value;RPM
6;-6717396111168447572;Default;OBC unit odometer changed;;;
7;-6577918909540725685;Hidden;SMS: Near daily limit;;;
8;-6266869554747599730;Hidden;Active track point;;;
9;-5885026884290222700;Hidden;End of trip call back request;;;
10;-5701437455733308247;System;FM High resolution vehicle odometer;FM High resolution odometer;DistanceKilometers;km
11;-5202712496663974930;Hidden;High priority active track point;;;
12;-5187123885301764144;Default;* Panic Alert;;;
13;-4950190839529718443;Default;* Ignição Off;;;
14;-4479498118140367800;Hidden;Final active track point;;;
15;-4165427743275052977;System;* Impacto Moderado;Moderate impact sensitivity;Integer;
16;-3890646499157906515;System;(HP) Excesso de Velocidade;Velocidade;Speed;km/h
17;-3792298274765039854;Hidden;Active ignition state change;Tensão da Ignição;Value;mV
18;-3393530750645328945;System;(HP) Marcha Lenta;;;
19;-2864371101042705250;Default;Road Speed Overspeeding;Velocidade;Speed;km/h
20;-2428296493372883300;System;* Impacto Severo;Severe impact sensitivity;Integer;
21;-1949793629218907327;System;FM Brake pedal depressed;;;
22;-1935587791656193246;Default;* Assistance Request;;;
23;-1912032722388075087;Default;* Bateria Interna Baixa;Tensão da Bateria;Value;mV
24;-1108723664337353906;Default;* Bateria Baixa;Tensão da Bateria;Value;mV
25;-593681484296749964;Hidden;SMS: Daily limit reached;;;
26;-503899021474982347;Hidden;COMMS: Terminal Event Download Request;;;
27;-382584128531125486;System;* Input 1 Low;;;
28;2715425441390540159;Default;OBC unit date changed;;;
29;2841595138250378900;Default;* Alimentação Desconectada;;;
30;2978313165985390321;Default;OBC unit Engine Hours changed;;;
31;4015353629289897570;System;FM Fuel level percentage;FM Fuel level;Value;%
32;4291175374538259638;System;* Curva Brusca;Track trace cornering threshold;Integer;mg
33;4650840888823746694;System;(HP) Marcha Lenta Excessiva em Cercas;;;
34;4750800303282680186;System;Harsh braking;Desaceleração;Acceleration;km/h/s
35;5857752512862302519;System;* Input 1 High;;;
36;6454149451280645233;System;(HP) Aceleração Brusca;Aceleração;Acceleration;km/h/s
37;6455806276341189645;Default;OBC unit reset;;;
38;6922609100885212728;System;Diagnostic: GPS velocity as speed fallback;;;
39;7042125390146036684;Default;* Alimentação Reconectada;;;
40;8242796377286834188;Default;* Ignição On;;;
41;8811449913201493072;Hidden;COMMS: EOT Download;;;
42;7749185914194201772;Hidden;COMMS: BOT Download;;;
43;-8136342741862439235;Default;Over speeding in location - EXCESSIVE SPEED;No Local;Location;
44;-4596269900191457380;Default;Over speeding - TIERED;Velocidade;Speed;km/h
45;1062305132618114225;Default;Over speeding in location - EXCESSIVE DURATION;No Local;Location;
46;4360614301289230131;Default;Over speeding in location;Velocidade;Speed;km/h
47;-2296465401251079776;Default;In-cab road speed over speeding - EXCESSIVE DURATION;Speed monitoring - Over speeding value;Speed;km/h
48;-1009815199714528629;Default;In-cab road speed over speeding;Velocidade;Speed;km/h
49;4817078994107181378;Default;In-cab road speed over speeding - EXCESSIVE SPEED;Speed monitoring - Over speeding value;Speed;km/h
50;-5657734287350940835;HosViolation;703:Weekly Driving;;;
51;-3082867732244905664;Default;Sub-trip start;;;
52;6439752883345253459;Default;Sub-trip end;;;
53;7381579521304264993;HosViolation;801:Continuous Driving;;;
54;-9172323129900124816;HosViolation;802:Daily Rest;;;
55;-8065777869118148601;HosViolation;805:Weekly Rest;;;
56;-7264907666821676844;HosViolation;701:Weekly Rest;;;
57;-7187426481580122107;HosViolation;206:Daily Off Duty Not For Shift Reset;;;
58;-6493888540163318841;HosViolation;704:Two Weekly Driving;;;
59;-5500972847847627848;HosViolation;213:Daily Driving Without Break;;;
60;-4323406878300661891;HosViolation;205:Daily Off Duty;;;
61;-3713459320596572035;HosViolation;204:Daily Off Duty Deferral;;;
62;-3018210039805496856;HosViolation;702:Two Weekly Rest;;;
63;-2447872976812872480;HosViolation;508:Shift Break;;;
64;-1355416219707714846;HosViolation;514:Shift Total;;;
65;474146278155760230;HosViolation;214:Daily Driving;;;
66;626334446554218316;HosViolation;207:Daily On Duty Maximum;;;
67;788934116659239970;HosViolation;507:Shift Driving;;;
68;1046475570982599663;HosViolation;215:Daily Rest;;;
69;4462786787242785826;HosViolation;111:Cycle On Duty Without Required Off Duty;;;
70;4471291987945988425;HosViolation;706:Reduced Rest Compensation;;;
71;4860548664254319917;HosViolation;112:Cycle Off Duty Periods;;;
72;5016057723140880891;HosViolation;806:Daily Driving;;;
73;6781060876286061560;HosViolation;509:Shift On Duty;;;
74;8513466422555379336;HosViolation;109:Cycle On Duty;;;
75;6593298508393752040;HosViolation;203:Daily Driving;;;
76;-9176671270936746107;HosViolation;823:Rest block short (5:30h, BFM 6:15h);;;
77;216284886120432354;HosViolation;822:Rest block medium (8:00h, BFM 9:00h);;;
78;1268987714023675166;HosViolation;815:Required Rest In 14 days;;;
79;3255191394606345900;HosViolation;812:Required Rest In 7 days;;;
80;5448669289706557268;HosViolation;809:Required Rest In 24 Hours;;;
81;6431581090744603609;HosViolation;824:Driving in 14 day period;;;
82;6516311050243386436;HosViolation;821:Rest block long (11:00h, BFM 12:00h);;;
83;7337193410206946216;Default;Passenger IDed;;;
84;7417918196186286721;HosViolation;808:Driving in 24H period;;;
85;7576360609625154071;HosViolation;811:Driving in 7 day period;;;
86;8310203122876257133;HosViolation;825: Required Rest In 52 Hours;;;
87;8762220870379150868;Default;Configuration accepted;Version of configuration that was accepted;Integer;
88;-2730877443971433118;Default;Diagnostic: Satellite communication message limit set;;;
89;1154155671739782144;HosViolation;830:Required Rest In 28 days;;;
90;1566525044567808847;Default;Calculate soft clock value when before the time change date;;;
91;2590837228958580073;Default;Calculate soft clock current date time using calculated time;;;
92;3178206198625947592;Default;Calculate soft clock value when after the time change date;;;
93;3954175762578748126;Default;Store new values for time deviation calculation;;;
94;6365240090597652472;HosViolation;829:Driving in 28 day period;;;
95;7114384516709768172;HosViolation;834:Required Rest In 82 Hours;;;
96;8515032094046493680;Hidden;Unmatched Extended Driver ID;;;
97;1825907491738184089;HosViolation;837:Weekly Driving;;;
98;6908615140553864348;HosViolation;838:Monthly Driving;;;
99;-7743386764194853504;Default;3-Axis - Lift Off;3-Axis Liftoff Severity;Value;
100;-4398378188999478703;Default;3-Axis – Harsh Cornering;3-Axis Cornering G-Force (High Sensitivity);Value;G
101;-3266057215132991570;Default;3-Axis - Rollover;3-Axis X-Axis Rotation;Value;
102;3410000371978983850;Default;3-Axis - Rough Road;3-Axis Road Roughness Severity;Value;
103;5778168543245285440;Default;3-Axis - Possible Accident;3-Axis Impact Severity;Value;
104;-4313373244482545430;Default;DriveMate Mode Change;;;
105;-5856432860580602666;HosViolation;840:Required Rest Before;;;
106;3762264000645059186;Hidden;Configuration confirmed;Version of configuration that was accepted;Integer;
107;7982182222986239649;Custom;(HP) Banguela;Velocidade;Speed;km/h
108;8912377795794369708;Custom;HC - Falha velocidade Sensor/CAN;GPS velocity;Speed;km/h
109;-1781390428471250016;Custom;HC - GPS velocity as speed fallback;;;
110;-1068807496570848844;Custom;HC - Sem GPS;;;
111;9158742440464658924;Custom;HC - Sem RPM;;;
112;-225322217624061558;Default;* OBC unit reset;;;
113;3067265545407279544;HosViolation;856:Split Break Reset;;;
114;3203334990470836499;HosViolation;852:Maximum Consecutive Driving Days;;;
115;3269849178444244131;HosViolation;855:Weekly Rolling On Duty Reset;;;
116;5093883055575592834;HosViolation;854:Maximum Weekly Driving;;;
117;5191813006292187858;HosViolation;853:Weekly Rolling Reset;;;
118;5237475855404103650;HosViolation;835:Night Driving;;;
119;7018716150654874550;HosViolation;857:Maximum Two Week Driving;;;
120;2190406540841410081;HosViolation;861:Required Off Duty In Calendar Month ;;;
121;5274492333575493152;Custom;HC - Aceleração Brusca;Aceleração;Acceleration;km/h/s
122;-6147266358306541600;Custom;TT:MB-MiX - TICK Pressão do Sistema de Freios C 2;FMS Service Brake Air Pressure Circuit 2;Value;kPa
123;-1379984654454808363;Custom;HC - RPM;Engine RPM;Value;RPM
124;3651464826771402743;Custom;HC - Velocidade GPS Máxima;GPS velocity;Speed;km/h
125;-5384536043410519844;Custom;Sem GPRS - Garagem;GSM signal quality;Value;
126;4825318985014246224;Custom;Sem GPRS - Operação;GSM signal quality;Value;
127;-6724339864990572804;Custom;Odometro Alta Resolução;FM High resolution odometer;DistanceKilometers;km
128;548623617942164810;Custom;(HP) Excesso de Rotação;Rotação;Value;RPM
129;569712952018602615;Custom;HC - Excesso de Velocidade;Velocidade;Speed;km/h
130;-3609392196539581128;Custom;(HP) Curva Brusca;3-Axis Cornering G-Force (Medium Sensitivity);Value;G
131;4532187928100910523;Custom;(HP) Freada Brusca;Velocidade;Speed;km/h
