;OpacityOnMap;IsTemporary;IsDeleted;Radius;GroupId;OrganisationId;LocationId;ContactDetails;LocationType;ShapeType;ColourOnMap;ShapeWkt;Address;Name
0;0,1;False;False;0;-8537705117441354628;-8537705117441354628;-6040093938888884039;{'ContactName': '', 'Email': '', 'HomePhone': '', 'MobilePhone': '', 'WorkPhone': ''};Site;Polygon;Teal;;Rua dos Esportes,  Mutirão e Curitiba,  Goiânia - GO,  74470-030,  Brasil;RAN
1;0,1;False;False;0;-8537705117441354628;-8537705117441354628;5424925143421432450;{'ContactName': '', 'Email': '', 'HomePhone': '', 'MobilePhone': '', 'WorkPhone': ''};SpeedZone;Polygon;Red;;Alameda das Gardênias,  Condomínio Jardim Viena,  Aparecida de Goiânia - GO,  74935-192,  Brasil;BR-060/APG/60
2;0,1;False;False;0;-8537705117441354628;-8537705117441354628;-366031265624901168;{'ContactName': '', 'Email': '', 'HomePhone': '', 'MobilePhone': '', 'WorkPhone': ''};SpeedZone;Polygon;Red;;GO-319, Aragoiânia - GO, 75360-000, Brasil;GO-319/Aragoiania/60
3;0,1;False;False;0;-8537705117441354628;-8537705117441354628;-1353712899314698523;{'ContactName': '', 'Email': '', 'HomePhone': '', 'MobilePhone': '', 'WorkPhone': ''};SpeedZone;Polygon;Red;;Goiânia - GO,  74703-300,  Brasil;Av. Cerâmicas/GYN/60
4;0,1;False;False;0;-8537705117441354628;-8537705117441354628;1183791284029212023;{'ContactName': '', 'Email': '', 'HomePhone': '', 'MobilePhone': '', 'WorkPhone': ''};SpeedZone;Polygon;Red;;Rua Jv Dezessete,  Residencial Jardim Veneza,  Senador Canedo - GO,  75250-000,  Brazil;GO-352/SC/80
5;0,1;False;False;0;-8537705117441354628;-8537705117441354628;1499777125930082659;{'ContactName': '', 'Email': '', 'HomePhone': '', 'MobilePhone': '', 'WorkPhone': ''};SpeedZone;Polygon;Green;;Avenida Goiás, 6370, Urias Magalhães, Goiânia - GO, 74565-250, Brazil;Terminal Hailé Pinheiro
6;0,1;False;False;0;-8537705117441354628;-8537705117441354628;1880457738171908009;{'ContactName': '', 'Email': '', 'HomePhone': '', 'MobilePhone': '', 'WorkPhone': ''};SpeedZone;Polygon;Red;;Aparecida de Goiânia - GO, 74968-543, Brasil;Av. Santana/APG/60
7;0,1;False;False;0;-8537705117441354628;-8537705117441354628;4117845845430137213;{'ContactName': '', 'Email': '', 'HomePhone': '', 'MobilePhone': '', 'WorkPhone': ''};SpeedZone;Polygon;Green;;Rua Bosque,  1-43,  Finsocial,  Goiânia - GO,  74474-303,  Brazil;Terminal Rec. do Bosque
8;0,1;False;False;0;-8537705117441354628;-8537705117441354628;2425880598584893041;{'ContactName': '', 'Email': '', 'HomePhone': '', 'MobilePhone': '', 'WorkPhone': ''};SpeedZone;Polygon;Red;;GO-462, Brazabrantes - GO, 75440-000, Brasil;GO-420/NOV/70
9;0,1;False;False;0;-8537705117441354628;-8537705117441354628;300118890510139405;{'ContactName': '', 'Email': '', 'HomePhone': '', 'MobilePhone': '', 'WorkPhone': ''};SpeedZone;Polygon;Red;;BR-153, Hidrolândia - GO, 75340-000, Brasil;Br-153/HDR/ENTR/60
10;0,1;False;False;0;-8537705117441354628;-8537705117441354628;3743098670467074591;{'ContactName': '', 'Email': '', 'HomePhone': '', 'MobilePhone': '', 'WorkPhone': ''};SpeedZone;Polygon;Red;;Rua Piracanjuba,  Aragoiânia - GO,  75360-000,  Brasil;GO-403/SC/80
11;0,1;False;False;0;-8537705117441354628;-8537705117441354628;-3804220964108379523;{'ContactName': '', 'Email': '', 'HomePhone': '', 'MobilePhone': '', 'WorkPhone': ''};SpeedZone;Polygon;Red;;Rua Rm 16,  10-4,  Cândida de Morais,  Goiânia - GO,  74573-428,  Brazil;Av.PerimetralNorte/GYN/60
12;0,1;False;False;0;-8537705117441354628;-8537705117441354628;418245222844491801;{'ContactName': '', 'Email': '', 'HomePhone': '', 'MobilePhone': '', 'WorkPhone': ''};SpeedZone;Polygon;Green;;Avenida Dom Emanuel,  Conjunto Uirapuru,  Senador Canedo - GO,  75261-142,  Brazil;Terminal Sen. Canedo
